POST ID,Caption,Attachment (optional),Num of likes,User,Num of shares,DATE,Art Assets [GDRIVE Link],DAY,FAKE NEWS TYPE,,EVIDENCE/REASON WHY FAKE
,Amazing firefish saves kid!,"PHOTO

""AI"" generated post of a man super buffed up holding the building up while a kid is passed out below it",5,Ran2052,1,,,1,AI GENERATED POST,,
,Did a building really 'collapse' in Angelfish City? Because I just walked past it and it looks perfectly fine to me. Y'all really believe everything you see online 🙄,"PHOTO: real photo of the building taken before the collapse, presented as current",1,user12143,0,,,1,MISINFORMATION,,
,"THOUSANDS DIED IN ANGELFISH CITY BUILDING COLLAPSE?!

Coming from the PRESIDENT themselves! I saw secret files saying that the deathcount is up to the thousands!",NONE,1,Ran2052,0,,,1,MISINFORMATION,,
,Building collapse made from the shadow government! WE'RE ALL SEA ROCKS WAITING TO DRIFT. OPEN YOUR GILLS!,,5,user12143,1,,,1,"MISINFORMATION, AI GENERATED POST",,
,Donate now for the victims of angelfish city collapse!,"2 PHOTOS

badly drawn QR code and if we add a 2nd photo unrelated to the disaster (like from another disaster)",10,Ran2052,2,,QR Code,1,"SCAMS, AI GENERATED POST",,
,"DO YOU FISH NOT SEE IT? These other users are lying to you about this ""tragedy"" for money! I even have a photo right now of the building area and it's alright!","PHOTO

it actually is a legit photo of the building but BEFORE the collapse",2,user12143,1,,,1,MISINFORMATION,,
,Hello. My family is in need of donations. our home was destroyed because of the recent collapse (See photo attached) and we need help to get back on our fins.,"2 PHOTOS:

1. Legit QR code

2. a badly edited family of fish on a real photo of the collapsed building",25,FamilyFish1978,3,,,1,SCAMS,,
,Look at this art I had AI made about the building collapse!,"PHOTO:

AI art of someone giving money to a victim with the collapsed building behind them",100,Ran2052,20,,,1,AI GENERATED POST,,
,"Hi. Please help me and my education. the building collapse made me lose my laptop. I don't have any ID to show to prove I'm from Coralocan City. Any help will do. Thanks

This is my info:
0871 122 2026",NONE,50,StarvingFish2021,2,,,1,SCAMS,,
,"I don't get why these NET-izens have to argue with me about this ""accident"" NOTHING HAPPENED get it through your head. Oh My FISH you all are so [Censored]",NONE,200,user12143,20,,,1,MISINFORMATION,,
,"We're collecting information from those who need help! we're sending donations to the victims of the Angelfish building collapse. Please provide the following information:

FullName
Address
Credit card number
PIN
CVN

Have a blessed swim ahead!",NONE,10,d0nations4Ichthys,5,,,1,SCAMS,,
,SEE I HAVE MORE PROOF OF THE ACCIDENT BEING STAGED. YOU ALL JUST DON'T BELIEVE ME.,"PHOTO:

""AI"" Generated photo of the building fine with a crowd of happy people and surprisingly the user as well",70,user12143,10,,,1,MISINFORMATION,,
