POST ID,Caption,Date,Attachment (optional),Num of likes,User,Num of shares,DAY,Art Assets [GDRIVE Link],,,REFERENCE
,"Death toll in the Angelfish Building collapse has risen to 30, with 8 others injured. The nine-story structure, which had been under construction since 2020, collapsed while dozens of workers were sleeping inside. Search and rescue operations have concluded, and authorities are now investigating the cause",07/10/2026,PHOTO (look at reference),300,Guppy News,20,1,,,,https://www.facebook.com/gmanews/posts/the-death-toll-in-the-angeles-city-pampanga-building-that-collapsed-last-may-24-/1549107717260880/
,"A multi-storey building collapsed Angelfish City, July 7.",07/07/2026,PHOTO (look at reference),1.9K,Bay Bulletin,300,1,,,,https://www.facebook.com/ManilaBulletin/posts/a-multi-storey-building-collapsed-in-barangay-balibago-angeles-city-pampanga-on-/1464431805725021/
,"Sole imposes P11M in fines over Angelfish building collapse

SOLE is imposing a fine of more than P11 million on the owner and contractor of the building that collapsed on May 24 in Angeles City, Pampanga province, and left 30 Fishes dead.",07/12/2026,NONE,20,The Curious,5,1,,,,https://newsinfo.inquirer.net/2248393/dole-imposes-p11m-in-fines-over-angeles-building-collapse
,9 fish now found dead in Angelfish City building collapse,07/08/2026,NONE,2K,Phil Starfish,1K,1,,,,https://www.philstar.com/nation/2026/05/31/2531853/9-now-found-dead-angeles-city-building-collapse
,"Our community kitchen is cooking for the families of workers affected by the building collapse. We need algae, canned plankton, and bottled seawater donations. Drop-off at Angelfish City seaweed court, 7am-6pm daily. Thank you Angelfish!",07/13/2026,Photo of rescue operations at the site,3204,Angelfish Re-reef network,1120,2,,,,https://en.wikipedia.org/wiki/2026_Sanriku_earthquake
,"My sibling was one of the workers pulled out alive from the building collapse, but he broke both fins and can't work for months. We're a family of five depending on his salary. Any help, even just sharing this post, means the world to us right now.",07/13/2026,"Photo of sibling in a hospital bed, injury visible",4127,GuppyGirl_Jona,1890,2,,,,
,"Volunteered at the relief ops earlier, so many people showed up just to help in whatever way they could. Someone brought homemade porridge, someone else brought water, one person even offered their house for volunteers to rest in. Even in the middle of all this grief, our sense of community really shows.",07/14/2026,Photo of Volunteers distributing food and water,876,OctopusOwen,745,2,,,,
,"It's scary to think about, I used to pass by that building all the time on my way to work. The rumbling when it collapsed was so loud, we felt it even two streets away. Please be careful, especially those near construction sites.",07/14/2026,Photo taken from a nearby street showing dust clouds and a collapsed building,2654,StarfishSteven,1033,2,,,,
,"BREAKING: A magnitude 7.4 earthquake struck off the coast of Codport, Herring Prefecture at 4:53PM local time today, triggering tsunami warnigns of up to 3 meters for Herring, Salmonori, and central Halibutdo. Follow for Updates",07/14,Map graphic showing the epicenter and warning zones,5412,NHK Fish Watch,3201,2,,,,
,"UPDATE: Tsunami waves have made landfall along the Sardinku coast, peaking at 80cm at Krillji Port. At least 10 people injured across Halibutdo, Salmonori, and Herring prefectures. Evacuation orders remain in effect for nearly 176,000 residents. Weather Bureau warns of possible aftershocks.",07/15/2026,Photo of waves at the port,4876,TunaTimes,2540,2,,,,
,"TSUNAMI WARNING: Waves of up to 3 meters expected along the Herring, Salmonori, and central Halibutdo coastlines. Residents in low-lying and coastal areas are urged to evacuate to higher ground immediately. Do not wait for visual confirmation of waves. Stay tuned for updates.",07/14/2026,Graphic showing Tsunami warning zones with alert siren icon (something similar to pubmats we see from citigovs when there's a typhoon),6203,Weather Bureau Fish Alert,4015,2,,,,
,Felt the whole apartment shake for what felt like forever. Grabbed my snail and ran straight to the evacuation site up the hill.,07/14/2026,Photo of fishes gathered at a hilldside evacuation,3214,MackerelMiho,1432,2,,,,
,"Our fishing cooperative in Krillji Port lost several boats and nets when the tsunami hit yesterday. We're grateful no lives were lost here, but rebuilding equipment before the next season is going to be tough. Any support, cash or materials, helps our families get back on the water",07/15/2026,Photo of damages boats docked at Krillji Port,1876,KenKoi,70,2,,,,
,"BREAKING: Finfin Volcano has raised its alert status after a lava dome collapse triggered pyroclastic density currents and heavy ashfall across Halibay province. Residents in Clamalig, Guppyobatan, and Trigao City are advised to stay indoors and wear masks if going outside",07/16/2026,Photo of thick ash covering a provincial road,4102,Anchovy News,2340,3,,,,https://www.pna.gov.ph/articles/1274187
,"UPDATE: At least 52 villages in Halibay have been affected by thick ashfall from Finfin. Authorities report zero visibility on some roads, with motorists advised to use headlights. No deaths or injuries reported so far.",07/16/2026,Photo of vehicles driving through ash with headlights on,3876,Bicol Barracuda Times,1987,3,,,,
,The Skyfin Aviation Authority has restricted flights within 6 kilometers of Finfin's summit due to ash risks to aircraft engines. Airspace advisories remain in effect as the volcano continues effusive activity,07/17/2026,NONE,2540,SkyFin Aviation Watch,1120,3,,,,
,"More than 195,000 Fishes have now been displaced or affected by Finfin's ongoing eruption. Evacuation centers across Halibay continue to receive families as the Finfish Volcanology Institute maintains Alert Level 3 status",07/17/2026,Photo of families lining up at an evacuation center,3210,Anchovy News,1654,3,,,,
,Evacuation centers in Clamalig and Guppyobatan urgently need more N95 masks and hygiene kits. Supplies from last week ran out fast with new families arriving daily. Drop off at the Safety Sole office or DM us for pickup coordination,07/16/2026,Photo of colunteers sorting donated supplies,1876,SwordfishRelief,743,3,,,,
,"Farmers in Clamalig lost entire vegetable plots buried under ash, and livestock didn't survive the fallout. We're raising funds to help affected families replant and recover before the next planting season. Every Seashell helps rebuild a livelihood",07/16/2026,Photo of ash-covered crops in a farm field,1432,HarvestHalibut,200,3,,,,
,My parents' rice field in Guppyobatan is completely buried in ash. They've farmed that land for over 20 years and it's their only source of income. We're trying to raise enough to at least clear the field before it hardens further. Any help is appreciated.,07/17/2026,Photo of an ash-covered rice paddy,2000,RicefieldRemora,892,3,,,,
,Woke up to ash falling like snow outside our window. Had to close every gap in the house with wet towels just to keep the air somewhat breathable. This is the heaviest ashfall we've had since January,07/16/2026,Photo of ash accumulating on a windowsill,300,CamilleClownfish,20,3,,,,
,"Our whole barangay smells like sulfur today. Kids are wearing masks just to walk to the covered court where relief goods are being distributed. Stay safe out there, Halibay",07/16/2026,Photo of children wearing massks swimming down an ash-covered street,20,GupoGrouper,1,3,,,,
,"Classes have been suspended in Guppyobatan for all levels, public and private, as ashfall continues to blanket the town. Local officials cite health and safety concerns for students commuting through affected areas",07/17/2026,think of PUBMATS for school suspensions,605,Anchovy News,100,3,,,,
,"Saw volunteers handing out bottled water and face masks along the highway to stranded motorists caught in the ashfall. Didn't catch which group they were with, but thank you, whoever you are",07/16/2026,Photo of volunteers distributing supplies to cars stuck in traffic,20,HenryHerring,5,3,,,,
,My granfish refuses to leave her house even with the evacuation advisory because she doesn't want to leave her farm animals behind. We're trying to raise funds to build a temporary shelter for the animals so she'll agree to move to safety,07/17/2026,Photo of farm animals in a makeshift shelter,27,LilyLungfish,2,3,,,,
,"It's been two days in the evacuation center and honestly the waiting is the hardest part. Not knowing when we can go home, if home will even still be livable. Grateful for the volunteers keeping our spirits up though",07/18/2026,Photo of family's makeshift sleeping area in covered court,100,EarlEel,44,3,,,,
,"Vet teams have been checking on livestock left behind in the evacuation zones around Finfin, treating ash-related eye and respiratory irritation. We need more saline solution and animal feed donations to keep up with the number of animals coming in",07/17/2026,Photo of a volunteer vet treating a worm's eyes (think of the animals like spongebob being so fr),389,FinnFlounder,45,3,,,,
,"The Finfish Volcanology Institute reports 32 volcanic earthquakes and 284 rockfall events recorded in a single day at Finfin, alongside sulfur dioxide emissions reaching over 1,500 tonnes daily. Alert Level 3 remains in place with no signs of de-escalation.",07/18/2026,Graph showing seismic activity spikes over recent days,1340,Anchovy News,437,3,,,,
